google.com	GET	301	text/html	Other	357 B	2.07 s	
gen_204?atyp=i&ct=1&cad=1&sqi=3&q=hunger%20games&oq=Hunger%20Games&gs_l=hp.10..0l4.58390.61037.0.61404.22.13.1.7.7.0.754.1780.8j4j6-1.13.0.msedrc...0...1c.1.58.psy-ab..3.19.1000.0.q9chAhNu4fI&ei=LfBtVOynIoymNqyTgqgE&zx=1416491054448	GET	204	text/html	Other	31 B	45 ms	
gen_204?v=3&s=web&e=3300109,3300134,3300137,3300161,3310753,3312224,3312478,3700289,4010074,4011550,4011551,4011556,4011558,4011559,4013920,4016469,4016824,4017981,4019181,4020347,4020560,4021073,4022495,4023367,4023566,4023677,4023709,4024198,4024201,4024673,4024679,4024932,4024970,4024976,4025096,4025285,4025296,4025793,8500394,8500700,8500787,8500820,8500852,10200083,10200095,10200526,10200716,10200743,10200766,10200774,10200781&ei=LfBtVOynIoymNqyTgqgE&cr=c&imp=0&pf=1&pfa=n.10,ttfc.69,ttlc.0,cbt.110&pfm=n.10,ttfc.91,ttlc.0,cbt.110&pmd=max.57,avg.5,0,1,0,2,1,0,1,1,1,57,1,1,2,1,1,1,2,0,15,2&imn=15&atyp=csi&adh=&xjs=dispose.8.18.jsa.3.ifl.2.foot.1.m.1.abd.1,init.28.28.hv.13.sb.5.m.3.spch.3.foot.1&action=&p=s&npn=1&rt=prt.164,pprt.165,ol.165,jsrt.640,iml.168,kpr.2726,bpl.65571
GET	204	text/html	Other	31 B	39 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
gen_204?atyp=i&ct=idck&cad=&s=0&ei=LfBtVOynIoymNqyTgqgE&zx=1416491056397	GET	204	text/html	Other	33 B	57 ms	
t	GET	302	text/html	Other	455 B	78 ms	
measurement?jaid=AJHaeXIHqqsYkpd8PzGFsngNK5G7yGO4l_Nvsq9qcNMst65c6wgT&jaidet=16768	GET	200	image/gif	https://www.google.com/ads/measurement/t	482 B	54 ms	
4.00 s6.00 s8.00 s10.00 s12.00 s14.00 s16.00 s18.00 s20.00 s22.00 s24.00 s26.00 s28.00 s30.00 s32.00 s34.00 s36.00 s38.00 s40.00 s42.00 s44.00 s46.00 s48.00 s50.00 s52.00 s54.00 s56.00 s58.00 s1.0 min1.0 min1.1 min1.1 min
84 requests ❘ 227 KB transferred ❘ 1.1 min (load: 2.61 s, DOMContentLoaded: 442 ms)
ConsoleSearchEmulationRendering

